EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
484.43,484.43,10,2400,308.8172821998596,323205,0.8583277016878128,0.27008247,0.027261492,0.0,-0.022125937,43.877213
411.64,411.64,9,2409,310.78194761276245,324926,0.9275752902030945,0.2291843,0.024183482,0.0,-0.030654214,21.654036
374.28,374.28,10,2419,312.7423851490021,326708,0.902044802904129,0.20795254,0.032651495,0.0,-0.055785228,25.937275
404.25,404.25,3,2422,314.65802025794983,329708,0.7738560885190964,0.19289383,0.052140202,0.0,-0.030172901,55.123276
324.62,324.62,10,2432,316.5345027446747,331443,0.7953517287969589,0.17438264,0.03387362,0.0,-0.018365588,37.182858
344.6,344.6,2,2434,318.3337936401367,333443,0.43532615900039673,0.17516613,0.03297566,0.0,-0.014090207,62.1273
310.13,310.13,17,2451,320.21889781951904,335642,0.8540300130844116,0.17044812,0.02940682,0.0,-0.025822297,38.722973
324.26,324.26,2,2453,322.000869512558,337642,0.8087548017501831,0.16359134,0.07457209,0.0,-0.035354305,33.80182
344.24,344.24,2,2455,324.1163899898529,339642,0.598490297794342,0.16145945,0.034843992,0.0,-0.036720153,48.149902
300.28,300.28,10,2465,326.16653633117676,341250,0.869782030582428,0.15725236,0.09341756,0.0,-0.046439532,36.40713
263.25,263.25,9,2474,328.1240875720978,343242,0.7403027415275574,0.15126494,0.05919235,0.0,-0.043962967,35.183056
266.99,266.99,9,2483,330.01381254196167,345247,0.8270560801029205,0.12665886,0.052430265,0.0,-0.050175223,25.49163
286.97,286.97,2,2485,332.1181073188782,347247,0.517620325088501,0.121126115,0.018203083,0.0,-0.03548356,42.52618
266.28,266.28,10,2495,334.22110056877136,349828,0.7681124806404114,0.116736814,0.039771713,0.0,0.00063070515,55.505665
286.26,286.26,2,2497,336.17549228668213,351828,0.7227430045604706,0.09169665,0.02010588,0.0,-0.030542113,34.95702
306.24,306.24,2,2499,338.0003502368927,353828,0.6061329543590546,0.093302965,0.012167554,0.0,-0.009401617,48.75821
309.02,309.02,10,2509,340.02114963531494,355828,0.7377564013004303,0.07804717,0.039388593,0.0,-0.028633436,32.829765
311.1,311.1,10,2519,342.01858019828796,357818,0.5714302659034729,0.07619953,0.038511313,0.0,-0.025982931,46.49326
258.82,258.82,17,2536,344.0042099952698,359801,0.7549381107091904,0.05439794,0.041203484,0.0,-0.032146957,28.304127
277.11,277.11,3,2539,345.85887360572815,361633,0.8758501783013344,0.031719685,0.03458019,0.0,0.003006738,28.334454
297.09,297.09,2,2541,347.70585012435913,363633,0.739883303642273,0.01382494,0.020043368,0.0,-0.022260258,40.160416
307.08,307.08,2,2543,349.51299500465393,365633,0.8916229158639908,0.018429399,0.1270607,0.0,-0.031207059,33.363907
309.89,309.89,10,2553,351.39448523521423,368631,0.8466152399778366,0.021175861,0.03858939,0.0,-0.026435832,41.823223
282.25,282.25,16,2569,353.3659453392029,370463,0.951264426112175,0.018651366,0.011124324,0.0,-0.01784004,13.738578
302.23,302.23,2,2571,355.147088766098,372463,0.5113917887210846,0.029486895,0.042908188,0.0,-0.014207522,51.642284
254.79,254.79,17,2588,356.97178077697754,374301,0.9578313045203686,0.028663516,0.023227219,0.0,-0.016235739,14.904892
212.74,212.74,17,2605,358.80986309051514,376099,0.9343045130372047,0.025893569,0.08023181,0.0,-0.0019664057,18.898924
192.78,192.78,17,2622,360.6063816547394,378088,0.9693757351487875,0.015423298,0.099303104,0.0,-0.042289656,10.757842
173.96,173.96,18,2640,362.53754472732544,380029,0.9496616870164871,0.01835084,0.08766688,0.0,-0.02921702,15.789469
133.44,133.44,16,2656,364.4341104030609,382921,0.8843593150377274,0.017956734,0.021223258,0.0,-0.023060994,25.328674
153.42,153.42,2,2658,366.1741533279419,384921,0.6280907988548279,0.027018547,0.14180903,0.0,-0.011822204,45.353638
173.4,173.4,2,2660,368.01587653160095,386921,0.8014024496078491,0.014471054,0.059185725,0.0,-0.058722958,51.274128
184.65,184.65,2,2662,369.80722069740295,388921,0.8728284537792206,-0.0026957989,0.17810906,0.0,-0.04407172,45.872166
204.63,204.63,2,2664,371.5749888420105,390921,0.8389846533536911,-0.018210769,0.03400199,0.0,-0.022919312,44.19674
